id	type	datasetID	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	preparations	samplingProtocol	sampleSizeValue	sampleSizeUnit	habitat	fieldNumber	locality	minimumDepthInMeters	maximumDepthInMeters	identifiedBy	identificationReferences	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	scientificNameAuthorship	nomenclaturalCode	taxonRemarks
3242	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3242	GR-Amvrakikos Benthic communities-1LO_outC-2621	1			box corer.0.03 square meters			coastal lagoon	1LO_outC	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:794	Turbellaria	Animalia	Platyhelminthes	Turbellaria								name in original file:Turbellaria sp.
3399	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3399	GR-Amvrakikos Benthic communities-3T_outC-4778	1			box corer.0.03 square meters			coastal lagoon	3T_outC	Amvrakikos Kolpos - Tsoukalio lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:129884	Heteromastus filiformis	Animalia	Annelida	Polychaeta		Capitellidae	Heteromastus		filiformis	(ClaparËde, 1864)†		name in original file:Heteromastus filiformis
3400	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3400	GR-Amvrakikos Benthic communities-3T_outD-4779	1			box corer.0.03 square meters			coastal lagoon	3T_outD	Amvrakikos Kolpos - Tsoukalio lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:129884	Heteromastus filiformis	Animalia	Annelida	Polychaeta		Capitellidae	Heteromastus		filiformis	(ClaparËde, 1864)†		name in original file:Heteromastus filiformis
3709	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3709	GR-Amvrakikos Benthic communities-4LO_outA-932	3			box corer.0.03 square meters			coastal lagoon	4LO_outA	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:129884	Heteromastus filiformis	Animalia	Annelida	Polychaeta		Capitellidae	Heteromastus		filiformis	(ClaparËde, 1864)†		name in original file:Heteromastus filiformis
3710	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3710	GR-Amvrakikos Benthic communities-4LO_outB-933	3			box corer.0.03 square meters			coastal lagoon	4LO_outB	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:129884	Heteromastus filiformis	Animalia	Annelida	Polychaeta		Capitellidae	Heteromastus		filiformis	(ClaparËde, 1864)†		name in original file:Heteromastus filiformis
4079	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	4079	GR-Amvrakikos Benthic communities-4LO_outC-934	9			box corer.0.03 square meters			coastal lagoon	4LO_outC	Amvrakikos Kolpos - Logarou lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:129884	Heteromastus filiformis	Animalia	Annelida	Polychaeta		Capitellidae	Heteromastus		filiformis	(ClaparËde, 1864)†		name in original file:Heteromastus filiformis
3144	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3144	GR-Amvrakikos Benthic communities-1LO_inA-1444	1			box corer.0.03 square meters			coastal lagoon	1LO_inA	Amvrakikos Kolpos - Logarou lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:148592	Monocorophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Monocorophium		insidiosum	(Crawford, 1937)†		name in original file:Monocorophium insidiosum
3364	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3364	GR-Amvrakikos Benthic communities-4M_outC-4198	1			box corer.0.03 square meters			coastal lagoon	4M_outC	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:793	Platyhelminthes	Animalia	Platyhelminthes									name in original file:Plathelmintes sp.
3263	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3263	GR-Amvrakikos Benthic communities-4M_outC-2798	1			box corer.0.03 square meters			coastal lagoon	4M_outC	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:1360	Actiniaria	Animalia	Cnidaria	Anthozoa	Actiniaria							name in original file:Actiniaria sp.
3276	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3276	GR-Amvrakikos Benthic communities-2M_outA-2991	1			box corer.0.03 square meters			coastal lagoon	2M_outA	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:118100	Chironomidae	Animalia	Arthropoda	Insecta	Diptera	Chironomidae						name in original file:Chironomidae sp.
3277	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3277	GR-Amvrakikos Benthic communities-3M_inA-2996	1			box corer.0.03 square meters			coastal lagoon	3M_inA	Amvrakikos Kolpos - Mazoma lagoon	2	2			urn:lsid:marinespecies.org:taxname:118100	Chironomidae	Animalia	Arthropoda	Insecta	Diptera	Chironomidae						name in original file:Chironomidae sp.
3540	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3540	GR-Amvrakikos Benthic communities-4LO_inC-1748	2			box corer.0.03 square meters			coastal lagoon	4LO_inC	Amvrakikos Kolpos - Logarou lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:152391	Nemertea	Animalia	Nemertea									name in original file:Nemertea sp.
3413	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3413	GR-Amvrakikos Benthic communities-4T_outD-5149	1			box corer.0.03 square meters			coastal lagoon	4T_outD	Amvrakikos Kolpos - Tsoukalio lagoon	0.5	0.5			urn:lsid:marinespecies.org:taxname:118956	Lekanesphaera monodi	Animalia	Arthropoda	Malacostraca	Isopoda	Sphaeromatidae	Lekanesphaera		monodi	(Arcangeli, 1934)		name in original file:Lekanesphaera monodi
3365	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3365	GR-Amvrakikos Benthic communities-1M_inC-4203	1			box corer.0.03 square meters			coastal lagoon	1M_inC	Amvrakikos Kolpos - Mazoma lagoon	2	2			urn:lsid:marinespecies.org:taxname:130417	Platynereis dumerilii	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Platynereis		dumerilii	(Audouin & Milne Edwards, 1834)		name in original file:Platynereis dumerilii
4383	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	4383	GR-Amvrakikos Benthic communities-1M_inA-3011	46			box corer.0.03 square meters			coastal lagoon	1M_inA	Amvrakikos Kolpos - Mazoma lagoon	2	2			urn:lsid:marinespecies.org:taxname:102092	Corophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		insidiosum	Crawford, 1937†		name in original file:Corophium insidiosum
4028	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	4028	GR-Amvrakikos Benthic communities-1M_inB-3012	7			box corer.0.03 square meters			coastal lagoon	1M_inB	Amvrakikos Kolpos - Mazoma lagoon	2	2			urn:lsid:marinespecies.org:taxname:102092	Corophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		insidiosum	Crawford, 1937†		name in original file:Corophium insidiosum
4428	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	4428	GR-Amvrakikos Benthic communities-1M_inC-3013	89			box corer.0.03 square meters			coastal lagoon	1M_inC	Amvrakikos Kolpos - Mazoma lagoon	2	2			urn:lsid:marinespecies.org:taxname:102092	Corophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		insidiosum	Crawford, 1937†		name in original file:Corophium insidiosum
4119	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	4119	GR-Amvrakikos Benthic communities-1M_inE-3015	10			box corer.0.03 square meters			coastal lagoon	1M_inE	Amvrakikos Kolpos - Mazoma lagoon	2	2			urn:lsid:marinespecies.org:taxname:102092	Corophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		insidiosum	Crawford, 1937†		name in original file:Corophium insidiosum
3280	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	3280	GR-Amvrakikos Benthic communities-1M_outB-3017	1			box corer.0.03 square meters			coastal lagoon	1M_outB	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:102092	Corophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		insidiosum	Crawford, 1937†		name in original file:Corophium insidiosum
4094	Dataset	4	Hellenic Centre for Marine Research- Institute of Marine Biology, Biotechnology and Aquaculture	Benthic communities in Amvrakikos Wetlands: Mazoma, Tsopeli,Tsoukalio, Rodia and Logarou lagoons (September 2010 ñ July 2011)	HumanObservation	4094	GR-Amvrakikos Benthic communities-1M_outC-3018	9			box corer.0.03 square meters			coastal lagoon	1M_outC	Amvrakikos Kolpos - Mazoma lagoon	0.7	0.7			urn:lsid:marinespecies.org:taxname:102092	Corophium insidiosum	Animalia	Arthropoda	Malacostraca	Amphipoda	Corophiidae	Corophium		insidiosum	Crawford, 1937†		name in original file:Corophium insidiosum
